id,category,title,summary,sentiment,status,source_name,collect_method,published_at,collected_at,source_url
1,IT,"[Pangyo Interview] PCNC, Founded by a Computer Engineering Ph.D. and Form...",컴퓨터공학 박사와 전직 초등학교 교사가 설립한 PCNC는 교육 현장에서 목격한 문제를 해결하기 위한 서비스를 개발하고 있다. 학습 동기 부여를 위해 목표 달성 지원 시스템을 제공한다.,긍정,summarized,naver,api,2026-08-05T12:38:00+00:00,2026-08-05T12:40:45.201041+00:00,https://us.aving.net/news/articleView.html?idxno=54173
2,IT,동남아 막으니 카자흐로…스캠조직 무더기 검거,"경찰은 동남아 단속 강화 이후 스캠 조직이 IT 기반시설과 육로 이동 여건이 좋은 카자흐스탄으로 거점을 옮긴 것으로 분석했다. 해당 조직이 무더기 검거됐으며, 현재까지 확인된 피해자는 16명이다.",부정,summarized,naver,api,2026-08-05T12:29:00+00:00,2026-08-05T12:40:45.205500+00:00,http://www.yonhapnewstv.co.kr/news/MYH20260805212819itQ
3,IT,[8월 5일 인사종합] 신한투자증권 외,"이뉴스투데이는 IT과학부장에 전승민을 임명했다. 법제처와 경북도는 과장급 인사를 발표했으며, 경북도는 비서실장·홍보담당관·미디어담당관·정보통신담당관 등을 교체했다.",중립,summarized,naver,api,2026-08-05T12:26:00+00:00,2026-08-05T12:40:45.212236+00:00,https://www.pinpointnews.co.kr/news/articleView.html?idxno=474756
4,IT,SPAIN MIGRATION,스페인 영토의 남부 해안 방벽은 모로코 나도르 항구와의 육상·해상 경계를 이룬다. 이 방벽은 국경 송환 절차를 원활하게 하기 위한 시설로 설명됐다.,중립,summarized,naver,api,2026-08-05T12:14:00+00:00,2026-08-05T12:40:45.218318+00:00,https://n.news.naver.com/mnews/article/091/0010275705?sid=104
5,IT,SPAIN MIGRATION,스페인 영토 엔클레이브 남부의 해안 방벽은 모로코 나도르 항구와의 육상·해상 경계를 이룬다. 이 방벽은 국경 송환 절차를 용이하게 하기 위한 시설이다.,중립,summarized,naver,api,2026-08-05T12:14:00+00:00,2026-08-05T12:40:45.223390+00:00,https://n.news.naver.com/mnews/article/091/0010275706?sid=104
6,IT,"1조원 AI 인프라 펀드, 우정사업본부·산은이 조성",우정사업본부와 산업은행이 AI·반도체·전력망·데이터센터 등 실물 기반시설 투자를 위한 1조원 규모 AI 인프라 펀드를 조성한다. 정책금융의 투자 대상은 AI 데이터센터와 전력 인프라 등으로 확대되고 있다.,중립,summarized,naver,api,2026-08-05T12:38:00+00:00,2026-08-05T12:40:45.817786+00:00,https://www.tokenpost.kr/news/policy/385791
7,IT,"민형배 시장, '반도체 클러스터' 지정 대응상황 점검회의",민형배 전남광주통합특별시장은 정부의 반도체특별법 시행령 시행을 앞두고 서남권 반도체 클러스터 지정 대응상황 점검회의를 열었다. 회의에서는 광주 군공항 부지를 중심으로 한 반도체 클러스터 추진 상황을 점검했다.,중립,summarized,naver,api,2026-08-05T12:36:00+00:00,2026-08-05T12:40:45.824047+00:00,http://www.newsworker.co.kr/news/articleView.html?idxno=439962
8,IT,"청주대 반도체공학과 이충현 씨, 'NANO KOREA 2026' 국제학술대회 베스트...",청주대 반도체공학과 석사과정 이충현 씨가 ‘NANO KOREA 2026’ 국제학술대회에서 베스트 관련 상을 수상했다. 연구 성과는 고성능 광반도체 소자의 설계 및 성능 향상에 활용될 수 있는 원천기술로 소개됐다.,긍정,summarized,naver,api,2026-08-05T12:35:00+00:00,2026-08-05T12:40:45.831097+00:00,http://www.enewstoday.co.kr/news/articleView.html?idxno=2456435
9,반도체,[미리보는 이데일리 신문]토스 ‘환급액 찾기’ 막히나…업계 초긴장,"이데일리는 토스의 ‘환급액 찾기’ 서비스가 막힐 가능성에 업계가 긴장하고 있다고 예고했다. 또 의대에서 반도체로 진로를 바꾸는 인재와 반도체 인재 보상, 마이스터고 장비 지원 및 기술인재 육성 관련 내용을 다룰 예정이다.",중립,summarized,naver,api,2026-08-05T12:41:00+00:00,2026-08-05T12:41:47.626370+00:00,https://www.edaily.co.kr/news/newspath.asp?newsid=06976566645544368
10,반도체,6500선 되찾은 코스피…반도체 훈풍에 3.8%↑,"코스피가 반도체주 강세에 힘입어 3.8% 상승하며 6500선을 회복했다. 삼성전자는 2.50% 오른 24만6천원, SK하이닉스는 5.77% 오른 166만8천원에 마감했으며 외국인은 두 종목을 대규모 순매수했다.",긍정,summarized,naver,api,2026-08-05T12:34:00+00:00,2026-08-05T12:41:59.700642+00:00,https://www.idaegu.co.kr/news/articleView.html?idxno=555979
11,반도체,정청래 “레버리지로 국민 피눈물”… 김민석 “거래중단 더 큰 혼란”,"송영길 후보는 삼성전자·SK하이닉스 관련 단일종목 레버리지 ETF 도입 과정에서 당정 협의가 부족했다고 지적하며 당시 당대표였던 정청래 후보의 책임을 언급했다. 정청래 후보는 레버리지 상품이 국민에게 피해를 줄 수 있다고 비판했고, 김민석 후보는 거래 중단이 더 큰 혼란을 초래할 수 있다는 입장을 밝혔다.",부정,summarized,naver,api,2026-08-05T12:27:00+00:00,2026-08-05T12:41:59.706033+00:00,https://www.segye.com/newsView/20260805523749?OutUrl=naver
12,반도체,"삼성전자·SK하이닉스 ""주주 환원 의미 있게 확대할 것"" 약속",로이터에 따르면 삼성전자는 지속 가능한 방식으로 주주환원을 강화하는 방안을 검토하고 있다고 밝혔다. SK하이닉스도 주주 환원을 의미 있게 확대하겠다는 입장을 내놓았다.,긍정,summarized,naver,api,2026-08-05T12:24:00+00:00,2026-08-05T12:41:59.711159+00:00,https://www.news1.kr/world/northeast-asia/6250475
13,IT,"[이수영의 IT 칼럼] AI 대전환 시대, 보조공학은 지원을 넘어 장애인의...","보조공학은 휠체어, 의수·의족 등 장애인의 이동과 일상생활을 지원해 온 핵심 기술로 소개됐다. 칼럼은 AI 대전환 시대에 보조공학의 역할과 장애인 삶의 변화 가능성을 다룬다.",긍정,summarized,naver,api,2026-08-05T13:04:00+00:00,2026-08-05T13:05:42.735605+00:00,https://www.dailyt.co.kr/newsView/dlt202608050012
14,IT,Can I Ask My Boyfriend to Straighten and Whiten His Teeth?,"한 여성은 치아가 고르지 않고 변색된 남자친구에게 교정과 미백을 제안해도 될지 고민하고 있다. 그는 훌륭한 사람이나, 그의 치아 상태가 여성의 끌림에 영향을 준다고 밝혔다.",중립,summarized,naver,api,2026-08-05T13:02:00+00:00,2026-08-05T13:05:42.741953+00:00,https://www.nytimes.com/2026/08/05/style/romantic-partner-attraction-self-improvement.html?partner=naver
15,IT,"키옥시아, AI 데이터센터용 메모리 확장 모듈 'XL1 시리즈' 공개",키옥시아가 AI 처리로 메모리 수요가 증가한 데이터센터를 겨냥해 메모리 확장 모듈 ‘XL1 시리즈’를 공개했다. 회사는 이달 중 업계 파트너를 대상으로 평가용 샘플 출하를 시작할 예정이다.,긍정,summarized,naver,api,2026-08-05T12:58:00+00:00,2026-08-05T13:05:42.745237+00:00,https://www.digitaltoday.co.kr/news/articleView.html?idxno=690359
